None
None
[3.545659065246582, 266L]
[3.557440996170044, -682L]
[3.5688610076904297, -17L]
[3.5802268981933594, 1802L]
[3.5919179916381836, 769L]
[3.6031150817871094, 1234L]
[3.6151161193847656, 179L]
[3.6263179779052734, -1427L]
[3.6375770568847656, -1514L]
[3.6495659351348877, -1400L]
[3.660658121109009, 6790L]
[3.672243118286133, 128583L]
[3.683767080307007, 235268L]
[3.695024013519287, 248502L]
[3.70713210105896, 229345L]
[3.718229055404663, 270855L]
[3.7294890880584717, 328179L]
[3.741365909576416, 356319L]
[3.752484083175659, 409432L]
[3.7641429901123047, 432959L]
[3.7756760120391846, 453052L]
[3.786936044692993, 445378L]
[3.7990190982818604, 433573L]
[3.81016206741333, 406690L]
[3.821432113647461, 379512L]
[3.8332600593566895, 344429L]
[3.8443989753723145, 315431L]
[3.8560779094696045, 290174L]
[3.867603063583374, 275688L]
[3.878852128982544, 271370L]
[3.8909969329833984, 280149L]
[3.9020650386810303, 298712L]
[3.913316011428833, 323956L]
[3.92514705657959, 352784L]
[3.9363210201263428, 381095L]
[3.9479589462280273, 404794L]
[3.959523916244507, 420137L]
[3.9707560539245605, 427784L]
[3.982836961746216, 422444L]
[3.993971109390259, 407214L]
[4.005225896835327, 387047L]
[4.017086029052734, 361623L]
[4.028233051300049, 336320L]
[4.0398850440979, 315953L]
[4.051491022109985, 300131L]
[4.062674045562744, 293362L]
[4.074789047241211, 294812L]
[4.085875988006592, 304199L]
[4.097170114517212, 320828L]
[4.109003067016602, 342895L]
[4.120147943496704, 364780L]
[4.131860971450806, 383837L]
[4.143326997756958, 398028L]
[4.1545939445495605, 407466L]
[4.166675090789795, 407035L]
[4.177793025970459, 400420L]
[4.189053058624268, 387929L]
[4.200902938842773, 369670L]
[4.212065935134888, 349749L]
[4.223716974258423, 331744L]
[4.235237121582031, 317341L]
[4.246500015258789, 311708L]
[4.258626937866211, 310435L]
[4.269721031188965, 314554L]
[4.280972957611084, 324353L]
[4.292831897735596, 337589L]
[4.303973913192749, 353627L]
[4.315627098083496, 369541L]
[4.327176094055176, 382538L]
[4.338418960571289, 391286L]
[4.350503921508789, 393775L]
[4.361696004867554, 391768L]
[4.37288498878479, 385379L]
[4.384740114212036, 372237L]
[4.395895957946777, 358607L]
[4.407547950744629, 345592L]
[4.419089078903198, 331450L]
[4.430341005325317, 323617L]
[4.442440032958984, 319750L]
[4.453542947769165, 320123L]
[4.4647979736328125, 327844L]
[4.476650953292847, 336077L]
[4.487807989120483, 348612L]
[4.499457120895386, 361841L]
[4.511001110076904, 371690L]
[4.522252082824707, 379793L]
[4.534311056137085, 382968L]
[4.546971082687378, 384275L]
[4.5568859577178955, 380875L]
[4.568582057952881, 373755L]
[4.579726934432983, 363283L]
[4.591434955596924, 351938L]
[4.6028900146484375, 341170L]
[4.6141579151153564, 334168L]
[4.6262500286102295, 330094L]
[4.637357950210571, 328119L]
[4.648621082305908, 330601L]
[4.660468101501465, 335759L]
[4.671644926071167, 344639L]
[4.68328595161438, 353087L]
[4.694799900054932, 360821L]
[4.706078052520752, 369740L]
[4.718158006668091, 375407L]
[4.729272127151489, 376831L]
[4.740540981292725, 376828L]
[4.752366065979004, 372947L]
[4.76352596282959, 365624L]
[4.7751829624176025, 357825L]
