Presion inicial: 150 psi, presion de trabajo 80 psi
Ciclos de apertura y cierre cada segundo
Fecha: 22-Feb-2019.
Tiempo	Ciclos
610.807793856	609
611.809350014	610
612.810626984	611
613.811947823	612
614.813208818	613
615.814713955	614
616.815985918	615
617.817278862	616
618.818529844	617
619.819779873	618
620.821054935	619
621.822577953	620
622.823876858	621
623.82514596	622
624.826411009	623
625.827692986	624
626.828975916	625
627.8302598	626
628.83156991	627
629.832816839	628
630.834086895	629
631.83565402	630
632.836944818	631
633.838222027	632
634.839486837	633
635.840734959	634
636.841981888	635
637.843261957	636
638.844560862	637
639.845857859	638
640.847157001	639
641.84868288	640
642.849988937	641
643.851306915	642
644.852577925	643
645.853838921	644
646.855098009	645
647.856379986	646
648.857635021	647
649.858927965	648
650.860177994	649
651.861698866	650
652.863013029	651
653.864336014	652
654.865604877	653
655.866887808	654
656.868135929	655
657.869398832	656
658.870729923	657
659.87201786	658
660.873274803	659
661.874771833	660
662.876075029	661
663.877400875	662
664.8787148	663
665.880311966	664
666.881542921	665
667.882848978	666
668.884605885	667
669.885864019	668
670.887147903	669
671.888696909	670
672.890028	671
673.891350031	672
674.892640829	673
675.893885851	674
676.895114899	675
677.896483898	676
678.897760868	677
679.899022818	678
680.900290012	679
681.901793003	680
682.903069973	681
683.904419899	682
684.90565896	683
685.906915903	684
686.90819788	685
687.909456015	686
688.910738945	687
689.911993027	688
690.913211823	689
691.914762974	690
692.916059017	691
693.917318821	692
694.91898489	693
695.920257807	694
696.921477795	695
697.92274785	696
698.924026966	697
699.925271988	698
700.926508904	699
701.928010941	700
702.929303885	701
703.930557966	702
704.931813002	703
705.93302393	704
706.934319019	705
707.935575962	706
708.936836958	707
709.938097	708
710.939343929	709
711.940853834	710
712.942145824	711
713.943459988	712
714.94471097	713
715.945968866	714
716.947250843	715
717.948568821	716
718.949858904	717
719.951179028	718
720.952492952	719
721.954056025	720
722.955123901	721
723.956452847	722
724.957746983	723
725.95904398	724
726.960340023	725
727.961659908	726
728.962979794	727
729.964334011	728
730.965590954	729
731.967120886	730
732.968473911	731
733.969774961	732
734.971084833	733
735.972388983	734
736.973721027	735
737.975031853	736
738.976387024	737
739.977690935	738
740.979017973	739
741.980592966	740
742.981887817	741
743.983158827	742
744.984409809	743
745.985656023	744
746.986897945	745
---- Ultima linea --------
